Status,# Rooms,Area (m²),# Car Spots,Condominium Fee (BRL),City,Neighborhood,Price (BRL)
311,,,195.0,,0.0,Recife,Casa Forte,11700.0
312,For sale,3.0,70.0,,0.0,Olinda,Fragoso,146000.0
313,,,698799.0,,0.0,Jaboatão dos Guararapes,Marcos Freire,20000000.0
314,For sale,2.0,45.0,,0.0,Recife,Boa Vista,346500.0
315,For sale,3.0,87.0,2.0,0.0,Recife,Poço,790000.0
316,For sale,3.0,112.0,,,Paulista,Janga,400000.0
317,For sale,3.0,124.0,3.0,,Recife,Boa Viagem,1330000.0
318,For sale,2.0,70.0,,0.0,Recife,Pina,390000.0
319,For sale,3.0,95.0,2.0,,Recife,Boa Viagem,1099159.0
320,For sale,2.0,60.0,,550.0,Recife,Boa Viagem,360000.0
321,,,247.0,,0.0,Recife,Apipucos,1300000.0
322,For sale,2.0,59.0,,640.0,Olinda,Casa Caiada,360000.0
323,For rent,,35.0,,0.0,Recife,Boa Viagem,2200.0
324,For sale,2.0,50.0,,560.0,Recife,Madalena,380000.0
325,For sale,3.0,68.0,2.0,0.0,Recife,Boa Vista,523000.0
326,For sale,4.0,280.0,3.0,2000.0,Recife,Rosarinho,1500000.0
327,For sale,3.0,59.0,,0.0,Recife,Madalena,359999.0
328,For sale,3.0,57.0,,300.0,Recife,Encruzilhada,340000.0
329,For sale,2.0,57.0,,400.0,Recife,Casa Amarela,321000.0
330,For sale,4.0,198.0,3.0,1200.0,Recife,Torre,1400000.0
331,,,92.0,,,Caruaru,Maurício de Nassau,3300.0
332,For sale,3.0,95.0,,703.0,Recife,Madalena,280000.0
333,For sale,2.0,51.0,2.0,,Recife,Tamarineira,443000.0
334,For sale,3.0,75.0,,415.0,Olinda,Casa Caiada,240000.0
335,For sale,5.0,300.0,3.0,,Jaboatão dos Guararapes,Candeias,895000.0
336,For sale,4.0,201.0,3.0,1550.0,Recife,Aflitos,1105000.0
337,For sale,4.0,180.0,2.0,1200.0,Recife,Boa Vista,500000.0
338,For sale,4.0,250.0,3.0,2360.0,Recife,Boa Viagem,1300000.0
339,For sale,2.0,45.0,,290.0,Jaboatão dos Guararapes,Candeias,195000.0
340,For sale,3.0,96.0,2.0,,Jaboatão dos Guararapes,Candeias,799499.0
341,For sale,4.0,190.0,3.0,1000.0,Recife,Torreão,1350000.0
342,For sale,2.0,63.0,,565.0,Jaboatão dos Guararapes,Piedade,400000.0
343,,,2600.0,,0.0,Jaboatão dos Guararapes,Prazeres,52000.0
344,For sale,2.0,53.0,,,Recife,Várzea,288900.0
345,For sale,4.0,172.0,3.0,0.0,Jaboatão dos Guararapes,Piedade,1200000.0
346,For sale,3.0,145.0,,1000.0,Recife,Tamarineira,760000.0
347,For sale,3.0,75.0,,730.0,Recife,Casa Forte,410000.0
348,For rent,3.0,85.0,,0.0,Olinda,Jardim Atlântico,1600.0
349,For sale,3.0,116.0,2.0,550.0,Olinda,Casa Caiada,650000.0
350,For sale,,32.0,,384.0,Recife,Boa Viagem,295000.0
351,For sale,3.0,129.0,,1000.0,Recife,Casa Amarela,780000.0
352,For sale,2.0,60.0,,0.0,Recife,Casa Amarela,320000.0
353,For sale,4.0,260.0,3.0,1650.0,Recife,Santana,1300000.0
354,For rent,4.0,10.0,4.0,0.0,Olinda,Casa Caiada,5000.0
355,For rent,2.0,59.0,,0.0,Recife,Santo Amaro,2300.0
356,For sale,4.0,160.0,,,Caruaru,Maurício de Nassau,500000.0
357,For sale,3.0,100.0,2.0,600.0,Recife,Boa Viagem,539000.0
358,For sale,,30.0,,,Jaboatão dos Guararapes,Piedade,285199.0
359,For sale,3.0,120.0,,822.0,Recife,Boa Viagem,350000.0
360,For rent,2.0,71.0,,0.0,Recife,Boa Viagem,3800.0
361,For sale,3.0,62.0,2.0,0.0,Igarassu,Saramandaia,30000.0
362,For sale,3.0,84.0,,,Recife,Rosarinho,880000.0
363,For sale,3.0,86.0,2.0,,Recife,Boa Viagem,595000.0
364,For sale,2.0,52.0,,400.0,Jaboatão dos Guararapes,Piedade,270000.0
365,For sale,3.0,80.0,,,Recife,Prado,470000.0
366,,,92.0,,800.0,Caruaru,Maurício de Nassau,480000.0
367,For sale,3.0,64.0,,,Paulista,Artur Lundgren I,180000.0
368,For sale,3.0,84.0,2.0,0.0,Recife,Rosarinho,842000.0
369,For sale,3.0,67.0,,450.0,Jaboatão dos Guararapes,Piedade,360000.0
370,For sale,4.0,245.0,2.0,1900.0,Jaboatão dos Guararapes,Piedade,1850000.0
371,For sale,2.0,56.0,,0.0,Recife,Casa Amarela,305000.0
